# Comparing packages installed on Amazon Linux 2023 Images
# https://docs.aws.amazon.com/en_us/linux/al2023/ug/image-comparison.html
# Excluded: amazon-linux-repo-s3 coreutils grub2-efi-aa64-ec2 grub2-efi-x64-ec2 microcode_ctl
Package                          AMI              Minimal AMI      Container       Install?
irqbalance                       1.9.0            1.9.0            -               YES
jansson                          2.14             2.14             -               YES
jitterentropy                    3.4.1            3.4.1            -               YES
jq                               1.7.1            1.7.1            -               YES
json-c                           0.14             0.14             0.14            NO
kbd                              2.4.0            2.4.0            -               YES
kbd-misc                         2.4.0            2.4.0            -               YES
kernel                           6.1.90           6.1.90           -               YES
kernel-livepatch-repo-s3         2023.4.20240513  2023.4.20240513  -               YES
kernel-srpm-macros               1                -                -               YES
kernel-tools                     6.1.90           -                -               YES
keyutils                         1.6.3            -                -               YES
keyutils-libs                    1.6.3            1.6.3            1.6.3           NO
kmod                             29               29               -               YES
kmod-libs                        29               29               -               YES
kpatch-runtime                   0.9.7            -                -               YES
krb5-libs                        1.21             1.21             1.21            NO
less                             608              608              -               YES
libacl                           2.3.1            2.3.1            2.3.1           NO
libaio                           0.3.111          -                -               YES
libarchive                       3.5.3            3.5.3            3.5.3           NO
libargon2                        20171227         20171227         -               YES
libassuan                        2.5.5            2.5.5            2.5.5           NO
libattr                          2.5.1            2.5.1            2.5.1           NO
libbasicobjects                  0.1.1            -                -               YES
libblkid                         2.37.4           2.37.4           2.37.4          NO
libcap                           2.48             2.48             2.48            NO
libcap-ng                        0.8.2            0.8.2            0.8.2           NO
libcbor                          0.7.0            0.7.0            -               YES
libcollection                    0.7.0            -                -               YES
libcom_err                       1.46.5           1.46.5           1.46.5          NO
libcomps                         0.1.20           0.1.20           0.1.20          NO
libconfig                        1.7.2            -                -               YES
libcurl-minimal                  8.5.0            8.5.0            8.5.0           NO
libdb                            5.3.28           5.3.28           -               YES
libdhash                         0.5.0            -                -               YES
libdnf                           0.69.0           0.69.0           0.69.0          NO
libeconf                         0.4.0            0.4.0            -               YES
libedit                          3.1              3.1              -               YES
libev                            4.33             -                -               YES
libevent                         2.1.12           -                -               YES
libfdisk                         2.37.4           2.37.4           -               YES
libffi                           3.4.4            3.4.4            3.4.4           NO
libfido2                         1.10.0           1.10.0           -               YES
libgcc                           11.4.1           11.4.1           11.4.1          NO
libgcrypt                        1.10.2           1.10.2           1.10.2          NO
libgomp                          11.4.1           11.4.1           11.4.1          NO
libgpg-error                     1.42             1.42             1.42            NO
libibverbs                       48               -                -               YES
libidn2                          2.3.2            2.3.2            2.3.2           NO
libini_config                    1.3.1            -                -               YES
libkcapi                         1.4.0            1.4.0            -               YES
libkcapi-hmaccalc                1.4.0            1.4.0            -               YES
libldb                           2.6.2            -                -               YES
libmaxminddb                     1.5.2            -                -               YES
libmetalink                      0.1.3            -                -               YES
libmnl                           1.0.4            1.0.4            -               YES
libmodulemd                      2.13.0           2.13.0           2.13.0          NO
libmount                         2.37.4           2.37.4           2.37.4          NO
libnfsidmap                      2.5.4            -                -               YES
libnghttp2                       1.59.0           1.59.0           1.59.0          NO
libnl3                           3.5.0            -                -               YES
libpath_utils                    0.2.1            -                -               YES
libpcap                          1.10.1           -                -               YES
libpipeline                      1.5.3            1.5.3            -               YES
libpkgconf                       1.8.0            -                -               YES
libpsl                           0.21.1           0.21.1           0.21.1          NO
libpwquality                     1.4.4            1.4.4            -               YES
libref_array                     0.1.5            -                -               YES
librepo                          1.14.5           1.14.5           1.14.5          NO
libreport-filesystem             2.15.2           2.15.2           2.15.2          NO
libseccomp                       2.5.3            2.5.3            -               YES
libselinux                       3.4              3.4              3.4             NO
libselinux-utils                 3.4              3.4              -               YES
libsemanage                      3.4              3.4              -               YES
libsepol                         3.4              3.4              3.4             NO
libsigsegv                       2.13             2.13             2.13            NO
libsmartcols                     2.37.4           2.37.4           2.37.4          NO
libsolv                          0.7.22           0.7.22           0.7.22          NO
libss                            1.46.5           1.46.5           -               YES
libsss_certmap                   2.9.4            -                -               YES
libsss_idmap                     2.9.4            -                -               YES
libsss_nss_idmap                 2.9.4            -                -               YES
libsss_sudo                      2.9.4            -                -               YES
libstdc++                        11.4.1           11.4.1           11.4.1          NO
libstoragemgmt                   1.9.4            -                -               YES
libtalloc                        2.3.4            -                -               YES
libtasn1                         4.19.0           4.19.0           4.19.0          NO
libtdb                           1.4.7            -                -               YES
libtevent                        0.13.0           -                -               YES
libtextstyle                     0.21             0.21             -               YES
libtirpc                         1.3.3            -                -               YES
libunistring                     0.9.10           0.9.10           0.9.10          NO
libuser                          0.63             0.63             -               YES
libutempter                      1.2.1            1.2.1            -               YES
libuuid                          2.37.4           2.37.4           2.37.4          NO
libuv                            1.47.0           -                -               YES
libverto                         0.3.2            0.3.2            0.3.2           NO
libverto-libev                   0.3.2            -                -               YES
libxcrypt                        4.4.33           4.4.33           4.4.33          NO
libxml2                          2.10.4           2.10.4           2.10.4          NO
libyaml                          0.2.5            0.2.5            0.2.5           NO
libzstd                          1.5.5            1.5.5            1.5.5           NO
lm_sensors-libs                  3.6.0            -                -               YES
lmdb-libs                        0.9.29           -                -               YES
logrotate                        3.20.1           3.20.1           -               YES
lsof                             4.94.0           -                -               YES
lua-libs                         5.4.4            5.4.4            5.4.4           NO
lua-srpm-macros                  1                -                -               YES
lz4-libs                         1.9.4            1.9.4            1.9.4           NO
man-db                           2.9.3            2.9.3            -               YES
man-pages                        5.1              -                -               YES
microcode_ctl                    2.1 (x86_64)     2.1 (x86_64)     -               NO
mpfr                             4.1.0            4.1.0            4.1.0           NO
nano                             5.8              -                -               YES
ncurses                          6.2              6.2              -               YES
ncurses-base                     6.2              6.2              6.2             NO
ncurses-libs                     6.2              6.2              6.2             NO
nettle                           3.8              3.8              -               YES
net-tools                        2                2                -               YES
newt                             0.52.21          -                -               YES
nfs-utils                        2.5.4            -                -               YES
npth                             1.6              1.6              1.6             NO
nspr                             4.35.0           -                -               YES
nss                              3.90.0           -                -               YES
nss-softokn                      3.90.0           -                -               YES
nss-softokn-freebl               3.90.0           -                -               YES
nss-sysinit                      3.90.0           -                -               YES
nss-util                         3.90.0           -                -               YES
ntsysv                           1.15             -                -               YES
numactl-libs                     2.0.14           2.0.14           -               YES
ocaml-srpm-macros                6                -                -               YES
oniguruma                        6.9.7.1          6.9.7.1          -               YES
openblas-srpm-macros             2                -                -               YES
openldap                         2.4.57           2.4.57           -               YES
openssh                          8.7p1            8.7p1            -               YES
openssh-clients                  8.7p1            8.7p1            -               YES
openssh-server                   8.7p1            8.7p1            -               YES
openssl                          3.0.8            3.0.8            -               YES
openssl-libs                     3.0.8            3.0.8            3.0.8           NO
openssl-pkcs11                   0.4.12           0.4.12           -               YES
os-prober                        1.77             1.77             -               YES
p11-kit                          0.24.1           0.24.1           0.24.1          NO
p11-kit-trust                    0.24.1           0.24.1           0.24.1          NO
package-notes-srpm-macros        0.4              -                -               YES
pam                              1.5.1            1.5.1            -               YES
parted                           3.4              -                -               YES
passwd                           0.8              0.8              -               YES
pciutils                         3.7.0            3.7.0            -               YES
pciutils-libs                    3.7.0            3.7.0            -               YES
pcre2                            10.4             10.4             10.4            NO
pcre2-syntax                     10.4             10.4             10.4            NO
perl-Carp                        1.5              -                -               YES
perl-Class-Struct                0.66             -                -               YES
perl-constant                    1.33             -                -               YES
perl-DynaLoader                  1.47             -                -               YES
perl-Encode                      3.15             -                -               YES
